flightDate_month_day,is_weekend,is_public_holiday,days_from_summer_start,day_of_month,1 days to departure,2 days to departure,3 days to departure,4 days to departure,5 days to departure,6 days to departure,7 days to departure,8 days to departure,9 days to departure,10 days to departure,11 days to departure,12 days to departure,13 days to departure,14 days to departure,15 days to departure,16 days to departure,17 days to departure,18 days to departure,19 days to departure,20 days to departure,21 days to departure,22 days to departure,23 days to departure,24 days to departure,25 days to departure,26 days to departure,27 days to departure,28 days to departure,29 days to departure,30 days to departure,31 days to departure,32 days to departure,33 days to departure,34 days to departure,35 days to departure,36 days to departure,37 days to departure,38 days to departure,39 days to departure,40 days to departure,41 days to departure,42 days to departure,43 days to departure,44 days to departure,45 days to departure,46 days to departure,47 days to departure,48 days to departure,49 days to departure,50 days to departure,51 days to departure,52 days to departure,53 days to departure,54 days to departure,55 days to departure,56 days to departure,57 days to departure,58 days to departure,59 days to departure,60 days to departure,flight_day_of_week,flight_month
06-14,0.0,0.0,-0.44699982621179385,0.8939996524235877,772.249,1009.3071428571429,1378.0186363636365,1256.0971875,982.4220689655173,1436.604090909091,1047.8157894736842,917.3528571428571,873.8038461538462,924.7333333333335,780.1934482758621,859.8734782608695,718.6796,537.7785714285715,564.9565217391304,507.97222222222223,626.4015,590.5276,593.2282142857142,558.6244827586207,573.5426620689656,588.4608413793103,603.3790206896551,618.2972,521.4396875,562.0087096774193,600.083125,564.2529615384615,528.4227980769231,492.5926346153846,456.76247115384615,420.9323076923077,478.1359375,488.590625,499.0453125,509.5,508.5142857142858,470.36,494.6181818181819,545.6,479.9548387096774,471.55172413793105,515.3833333333333,500.47,472.44827586206895,501.89625,450.129,445.9740740740741,463.361037037037,480.748,452.115724137931,423.4834482758621,433.328275862069,416.3072413793103,392.86475705329156,369.42227272727274,375.6361363636364,381.85,381.85,381.85,0.01064285300504271,0.029025962741025577
06-25,0.03943918487766993,0.0,0.15775673951067973,0.9859796219417483,783.658,666.2983333333333,661.3552000000001,636.1792857142857,652.8556,639.425,678.7716666666666,625.4399999999999,681.4649999999999,642.1517391304347,745.908,686.8721739130434,728.8779999999999,503.79269230769233,490.67958333333337,502.9120833333334,491.8569696969697,467.57060606060605,556.8662962962964,542.6215625,551.1592857142857,543.6976923076923,521.2540625,528.0665625,508.1589479166667,488.2513333333334,502.91200000000003,496.9725,491.4157575757576,489.44666666666666,520.6148484848485,515.121404366243,509.62796024763765,504.13451612903225,501.815,516.3184,551.549,533.3018518518519,527.2179162640903,521.1339806763285,515.0500450885669,508.9661095008052,502.8821739130435,459.6478125,465.76397376543207,471.8801350308642,477.9962962962963,489.2660714285715,470.18148148148146,518.6291666666667,544.9236,497.9779166666667,469.5893103448276,457.1827586206897,455.1966666666667,458.5735294117647,467.7375,486.57675675675677,486.57675675675677,486.57675675675677,0.03286598739805828,0.017926902217122696
06-04,0.05708221389698719,0.0,-0.9703976362487823,0.22832885558794877,542.4971428571429,461.46111111111117,468.624,463.8639130434783,451.17041666666665,484.1,492.108,473.9589285714286,477.6461538461539,465.9872727272728,475.3918972332016,484.7965217391304,528.8915789473684,515.1245454545455,499.40608695652173,519.7265,504.33829022988505,488.9500804597701,473.56187068965517,458.1736609195402,442.7854511494253,427.39724137931034,431.85857142857145,448.4794516594517,465.1003318903319,481.72121212121215,493.12258064516135,490.7241379310345,481.60138888888895,499.8051162790698,509.8488888888889,482.396,479.7046666666667,493.4716666666667,441.2267741935484,448.924375,419.2923076923077,425.65653846153845,419.2219230769231,412.78730769230776,411.04585384615393,409.30440000000004,463.44173913043477,394.06300000000005,403.8860833333334,413.7091666666667,421.5266666666667,424.9553846153846,424.9553846153846,424.9553846153846,424.9553846153846,424.9553846153846,424.9553846153846,424.9553846153846,424.9553846153846,424.9553846153846,424.9553846153846,424.9553846153846,424.9553846153846,424.9553846153846,0.04756851158082266,0.025946460862266905
06-18,0.054643906747216024,0.0,-0.16393172024164807,0.9835903214498884,1208.0453333333332,959.3528,1087.2634782608695,858.9008695652175,772.8386206896552,888.2099999999999,579.5878260869565,618.0747368421053,678.7912121212121,722.2513793103449,597.9367741935484,582.7020588235293,576.418,563.0639285714286,563.3613793103448,661.9326315789473,661.9326315789473,615.6161538461539,701.18875,643.9583333333334,606.6995833333334,654.36625,704.5215789473684,680.7028,655.7749916666667,630.8471833333333,605.919375,596.9292,569.7896296296296,670.697,674.2880952380953,652.1180146520147,629.9479340659341,607.7778534798535,585.6077728937729,563.4376923076924,506.51290322580644,517.6890465949821,528.8651899641577,540.0413333333333,544.8460869565217,542.4730434782609,579.4783333333334,591.8104166666667,531.5712,520.8677777777777,518.3227586206897,528.8936,513.4895833333334,506.6525,489.25178571428575,460.43,468.966,477.50200000000007,466.3296,455.1572,469.5459259259259,452.98875,452.98875,452.98875,0.045536588956013355,0.024838139430552738
07-09,0.04956864899814485,0.0,0.8922356819666073,0.44611784098330365,505.2692307692308,331.105,505.2190243902439,411.2794594594595,419.6529032258065,600.6333333333333,659.0255,531.365625,595.1689655172414,922.7739130434783,1065.5727777777777,651.8045454545455,650.5318181818183,644.9350000000001,692.1404761904762,663.3545454545455,719.9615789473685,694.2531818181818,726.5063157894738,689.8295238095238,667.301,671.0334782608696,632.8027586206896,611.6068750000001,631.748,619.586551724138,649.5500000000001,649.4052173913043,505.2867857142857,486.6695000000001,498.5677045454546,510.46590909090907,494.641185770751,478.8164624505929,462.99173913043484,494.73150000000004,486.425294117647,475.29439897698205,464.16350383631715,453.0326086956522,474.7154545454545,453.82454545454544,453.535,488.4839130434783,481.28826086956525,473.28884057971015,465.2894202898551,457.29,457.2778260869565,441.66081739130436,426.04380869565216,410.4268,417.7743566666667,425.12191333333334,432.46947000000006,439.8170266666667,447.1645833333334,400.92857142857144,400.92857142857144,400.92857142857144,0.04130720749845404,0.027037444908079005
06-09,0.0,0.0,-0.7991894795323319,0.5993921096492489,1173.795625,1297.6057894736844,1499.2415789473685,1249.9565384615385,1318.9266666666667,1239.5777777777778,1392.4076923076923,1049.3822727272727,676.3778125,659.13,669.1409523809524,717.5439130434784,725.4153846153846,760.0608333333334,636.7079166666667,513.355,531.973076923077,618.7392307692309,577.5968376068377,536.4544444444444,488.5644827586207,606.8011538461539,601.3272388663968,595.8533238866397,590.3794089068826,584.9054939271256,579.4315789473685,576.7978571428572,561.1299692780339,545.4620814132104,529.794193548387,538.3411111111111,552.0204545454545,567.9795833333334,481.6797368421053,550.6234782608695,493.33250000000004,504.84225806451616,517.1604,505.51161290322585,519.4128571428572,510.4486666666667,467.6712121212122,469.34102272727273,471.0108333333333,466.1290931372549,461.2473529411765,448.21333333333337,444.3637931034483,443.4817352614016,442.59967741935486,423.1604447702835,403.72121212121215,403.72121212121215,403.72121212121215,403.72121212121215,403.72121212121215,403.72121212121215,403.72121212121215,403.72121212121215,0.033299561647180495,0.030272328770164086
08-13,0.018318277119613462,0.0,0.9708686873395135,0.238137602554975,497.92951219512196,486.8557777777778,483.82525000000004,463.55861111111113,468.32088235294117,409.8515625,427.2183333333333,434.8683333333333,436.2945161290323,442.1816129032258,457.4665384615385,451.1940740740741,452.6686666666667,463.9203703703704,490.70714285714286,510.8922580645161,475.44620689655176,580.7991176470588,426.3521428571429,455.63687500000003,628.7289655172414,549.0148275862069,440.43851851851855,543.2196296296296,524.8710526315789,558.5534210526315,445.11135135135135,513.29,473.0566666666667,458.6309375,454.3282857142857,541.4626829268293,480.8947058823529,454.39750000000004,490.05916666666667,454.35806451612905,448.5833333333333,453.92833333333334,651.1314705882353,720.8465714285715,746.7351428571428,659.2378125,663.3628125,637.0811538461538,521.047,724.9819047619047,577.578275862069,564.2709375000001,581.5613793103448,556.9574193548387,559.5032258064516,562.0490322580646,546.5524242424242,538.6893787878787,530.8263333333333,518.9323529411765,527.304375,510.78131578947375,513.0969696969697,493.24815789473683,0.015265230933011218,0.01165708543975402
06-07,0.0,0.0,-0.8939996524235877,0.44699982621179385,599.8395238095238,891.2448,1399.859090909091,799.3608,914.6696428571429,563.8444444444444,847.2173076923077,595.1222222222221,970.373076923077,852.6913043478262,739.8439999999999,517.3720689655173,531.3613636363636,479.4503030303031,509.65103448275863,497.0776190476191,506.3835921325052,515.6895652173913,617.7152173913043,526.3345161290323,510.85294623655915,495.37137634408606,479.8898064516129,464.4082365591398,448.9266666666667,375.92047619047617,397.13920634920635,418.35793650793653,439.5766666666667,453.10625000000005,446.87333333333333,443.0678571428572,461.59680000000003,450.9478260869566,392.408695652174,411.24565217391313,394.4976190476191,415.98400000000004,397.87800000000004,361.7826086956522,359.22291666666666,349.9354583333334,340.648,343.31447619047617,345.9809523809524,336.9125,333.84333333333336,332.8622916666667,331.88125,338.4144,341.1234615384616,341.1234615384616,341.1234615384616,341.1234615384616,341.1234615384616,341.1234615384616,341.1234615384616,341.1234615384616,341.1234615384616,341.1234615384616,0.01064285300504271,0.029025962741025577
08-28,0.013595184750688497,0.0,0.9244725630468178,0.38066517301927794,665.8452777777778,754.4,469.47950000000003,523.64,488.82525000000004,496.51279999999997,448.87925925925924,465.2546153846154,533.5578260869565,446.3328571428571,457.07714285714286,484.64250000000004,496.1529411764706,493.17727272727274,466.59645161290325,514.3746875,520.5186666666667,474.34722222222223,493.34324324324325,444.1969696969697,498.1169696969697,496.6948648648648,457.181875,524.6154545454546,458.13172413793103,516.3616129032258,511.8451515151515,550.0944444444444,560.3402777777778,560.2932432432432,518.2588571428572,559.3763157894737,544.7651428571428,515.6773529411764,504.80428571428575,540.8416666666667,542.4458823529412,525.7608571428572,533.2994117647058,548.0565789473685,563.5608108108108,552.0882857142857,529.5462162162162,508.825,504.97486486486486,533.6169230769231,532.0646153846154,519.0855,598.7748387096774,600.2206666666666,605.1358064516129,589.6217142857143,536.0166666666667,669.5336111111111,649.6809677419355,647.9487878787879,680.534,651.4242857142857,668.2379411764706,607.7003030303031,0.013595184750688497,0.008651481204983588
07-07,0.0,0.0,0.915336120602453,0.4004595527635732,556.4144444444445,480.6569444444445,485.6127777777778,492.1574418604651,467.1282926829269,545.115625,551.930606060606,748.8694444444444,854.4486206896552,567.1040740740741,592.404,650.3383333333334,669.9352173913044,699.9013636363636,659.6530434782609,676.2771428571428,678.7004545454546,731.4063157894736,754.0541176470588,712.9052173913043,657.1392592592592,617.1448484848485,645.1637037037036,635.9974074074074,649.6311111111112,618.8338461538461,440.64909090909094,432.9605555555556,450.3780777777778,467.79560000000004,467.66941960784317,467.5432392156863,467.41705882352943,487.1413636363637,461.3275,456.62,451.91249999999997,447.205,483.2290909090909,454.03520000000003,437.6695454545454,452.27,442.67652173913046,446.6040700483092,450.53161835748796,454.4591666666667,455.84434782608696,441.2733747412008,426.7024016563147,412.13142857142856,417.2309285714286,422.33042857142857,427.4299285714286,432.5294285714286,437.6289285714286,434.55611111111114,433.39740740740746,432.2387037037037,431.08000000000004,431.08000000000004,0.028604253768826655,0.031204640475083624
08-26,0.0,0.0,0.9303298761481064,0.3664935875734964,411.69,398.40583333333336,441.4731428571429,502.7490243902439,469.81820512820514,471.09962962962965,465.1511111111111,514.8095833333333,415.2938461538461,470.11225806451614,474.2178787878788,493.56387096774193,469.0764705882353,441.1703225806452,479.11709677419356,526.3364705882352,514.0462857142857,492.463125,459.54764705882354,463.2829411764706,420.26,465.6571875,540.6084000000001,524.0929629629629,510.6653333333333,537.4554054054054,510.20142857142855,567.4403225806452,537.1693548387096,565.8720588235294,543.2965384615385,567.6843333333333,601.466875,496.6341935483871,561.1776470588236,601.6854838709677,539.9471428571429,524.884375,519.930606060606,493.5035294117647,485.85578947368424,499.9245454545455,544.4182352941177,577.4220689655173,612.479375,605.4243333333333,559.0429032258065,560.9345454545455,547.5436363636363,539.0717647058823,542.2841176470588,576.8316042780748,611.3790909090909,621.1942424242425,638.587,684.770303030303,662.9070967741935,662.0545454545455,567.5678571428572,441.27655172413796,0.009397271476243498,0.008970122772777886
07-27,0.0,0.0,0.7999192948270125,0.5999394711202594,431.96764705882356,437.475,479.13125,428.93114285714285,363.3258064516129,342.67333333333335,540.6032258064516,557.1336666666667,525.0836666666667,544.9975862068966,564.1348275862069,552.3676666666667,574.8338461538461,531.603076923077,486.5605882352942,551.2903333333333,593.0903225806452,559.6067741935484,601.5461538461539,455.3958333333333,440.94,444.015,683.8564285714285,543.8303448275863,562.9961290322581,576.3393333333333,558.580625,504.19928571428574,660.4584615384615,579.7273076923077,586.5458333333333,581.1291666666667,571.3967857142858,565.4925925925926,566.7038461538461,573.564,538.7655172413794,553.7968965517241,555.6244827586207,545.8236666666667,551.6068965517242,568.6329166666667,565.8961538461539,544.1817857142858,547.33,549.7962068965518,387.8477777777778,395.5325,393.03568,390.53886,388.04204000000004,385.54522000000003,383.0484,403.84433333333334,371.9593103448276,374.336921182266,376.71453201970445,379.09214285714285,379.09214285714285,379.09214285714285,0.007406660137287152,0.012119989315560794
08-31,0.0,0.0,0.9164139319581267,0.40012439282678774,544.377027027027,548.9092105263157,489.3972972972973,509.78317073170734,521.5867567567567,511.565,585.1,487.86899999999997,532.3603448275862,583.2379999999999,545.0083333333333,499.9505555555556,358.5835714285714,388.383125,410.0630769230769,421.02461538461534,376.26178571428574,383.4585714285714,413.7578125,424.53709677419357,397.27461538461546,405.05,411.7165384615385,407.97,403.04290322580647,392.0435483870968,412.38296296296295,400.704,573.0062857142857,560.7462857142857,614.6312121212122,657.8975862068966,626.7628125,447.1673333333334,591.2757142857143,540.525,522.8348717948718,568.1275675675676,604.3894594594594,644.301935483871,455.6955555555556,436.51655172413797,431.004,446.0361290322581,453.1051612903226,464.25533333333334,477.0553571428572,475.4537931034483,464.96285714285716,461.48448275862074,448.4556666666667,448.93656250000004,430.8772727272727,429.5136363636364,435.8894285714286,433.7718181818182,488.2102639296188,542.6487096774193,556.2203333333333,535.1742857142857,0.004302412826094492,0.00821369721345312
07-25,0.0,0.0,0.8055837280355787,0.592340976496749,438.4125,453.7460714285714,335.9636363636364,424.3636842105263,526.48,549.9578260869565,491.9170833333333,484.0074074074074,536.1426923076923,534.3082142857144,541.8567647058824,466.7,512.1003703703705,439.57444444444445,438.70444444444445,445.6666666666667,468.800625,477.62371428571436,483.7693548387097,599.4776774193549,715.186,610.2825806451614,730.0823076923077,628.2582857142858,604.8203125,589.535,760.2576666666666,688.3165256410257,616.3753846153846,616.1603846153846,630.5838461538461,618.4242857142857,616.6899999999999,579.8457142857143,608.7432142857143,630.7791666666667,616.8436,594.1157575757576,586.5322222222222,587.2622857142857,600.7775,583.9216129032258,597.926129032258,589.1994285714286,439.748695652174,449.1467741935484,449.0257526881721,448.90473118279573,448.7837096774194,448.66268817204303,448.5416666666667,459.3032258064517,451.23482758620696,466.75412748171374,482.2734273772205,497.7927272727273,477.8592207792208,457.92571428571426,471.05296296296297,467.4557575757576,0.0,0.012923803123565432
